,start_station_name,value
1585,W 21 St & 6 Ave,32391
1716,West St & Chambers St,30774
495,Broadway & W 58 St,28580
286,6 Ave & W 33 St,26751
8,1 Ave & E 68 St,26146
461,Broadway & E 14 St,24921
485,Broadway & W 25 St,24689
1509,University Pl & E 14 St,24476
463,Broadway & E 21 St,23935
1601,W 31 St & 7 Ave,23584
590,Cleveland Pl & Spring St,23020
788,E 33 St & 1 Ave,22823
29,12 Ave & W 40 St,22604
287,6 Ave & W 34 St,22463
562,Central Park S & 6 Ave,22264
1105,Lafayette St & E 8 St,21891
1717,West St & Liberty St,21874
24,11 Ave & W 41 St,21731
796,E 40 St & Park Ave,21391
328,8 Ave & W 33 St,21269
